《庄子》,庄周,中国古典  哲学,有人统计《庄子》中，至少有六次提及“孤独”。而庄子主张的“虚静无为”，本身就要求主体处于孤独的心境中。可见，早在两千多年前，庄子就已经开始思考孤独这个终极命题。在书单狗看来，庄子是一个看穿了孤独本质的人。他看清了人生来就是孤独的命运，也明白“孤独”是我们每个人作为个体最初和最终的状态。他独自一人行走于高山流水间，将自己置身于大千世界中，始终保持着“独与天地精神往来”的心态。也正因如此，他超越了心与物之间的距离，冲破了时间与空间的界限，他挣脱了一切束缚，逍遥地遨游在天地之间。反观当下社会，有越来越多的人害怕孤独、排斥孤独。他们沉浸于集体狂欢中不愿自拔，将喧嚣之后的空虚视为精神毒瘤，却恰恰忽视了孤独的另一面，其实是绝对的自由。也许，我们每个人都应该再次跟随庄子的脚步，去重新审视孤独、重新解读人生。
《资治通鉴》,司马光,中国古典  历史,
《史记》,司马迁,中国古典  历史,
《最美的宋词》,布谷鸟,中国古典,这是一本单纯的词选。之所以说它单纯，是因为它简单到纯粹的地步。没有拼音，没有赏析，没有词人生平，没有编者脑洞大开的意淫，甚至连注释都没有，有的只是一首首词，白纸黑字，一页一词。编者说，剔除政治桎梏，唯美是从。所以这本干净的小册子，包含的大多都是唯美婉约而又经典的清新之作，仿佛生来就是为了让人翻来覆去地读， 而当你读透了，翻烂了，谙熟了，你也就懂了，宋词里的大美。而其背后的美丽，总是在不起眼的外表之下，等待着和它共鸣的读者一起熠熠生辉。
《阅微草堂笔记》,纪昀,中国古典,
《夜航船》,张岱,中国古典,
《唐宋词十七讲》,叶嘉莹,中国古典,叶嘉莹，一生致力于研究中国古典文学，功底深厚，非常具有大家风范。她的讲解通俗易懂又深刻有内涵。这本书是她17场演讲的合集。和一般解读不同的是，叶嘉莹很少去纠结词人们的技巧和格律，而是专注于他们的历史境遇，人生追求。教读者通过感受文字背后的情绪，去感受一首词背后的世界。这个世界，风还是风，云还是云，你站在风云之中，感受到的情绪，和一千年前的词人，并没什么不同。
《诗境浅说》,俞陛云,中国古典,这本书的作者俞陛云，来自书香门第，他的祖父俞樾是著名的晚清国学大师，而诗人、散文家、红学家俞平伯则是俞陛云的儿子。这本《诗境浅说》，是俞陛云专门写给儿子的唐诗启蒙书。书中俞陛云精选了大量经典唐诗和名句，为我们点出诗句中“境界”的深妙，寥寥数语，却直击精髓。跟随他的文字，我们就能感受到，他字里行间中透露出来的诗情画意。俞陛云为儿子自编唐诗教材，体现的不仅仅是一个家庭对于文化的简单追求，从某种意义上来讲，它更是一种文化的浸染和传承。而这种文化的传承，对于现代社会而言，是十分必要的。
《诗经》,,中国古典,
《山海经》,,中国古典,
《人间词话》,王国维,中国古典,
《经史百家杂钞》,曾国藩,中国古典,早在一百多年前，曾国藩就曾列出过一份书单，《史记》《汉书》《庄子》再到唐宋诗词，无所不包。当然，它不单纯是一份传统意义上的书单，而是添加了曾国藩自我元素的一本古文精华集。可以说这本杂钞注入了曾国藩毕生的心血。所以就连毛泽东也把《经史百家杂钞》列为研习国学的入门书，评价它“国学者，统道与文也。曾书二者兼之，所以可贵也。”
《古文观止》,吴楚材            吴调侯,中国古典,
《风景旧曾谙》,叶嘉莹,中国古典,在这本书中，叶教授挑选了10个古典诗词读者感兴趣的题目，然后一一讲述。从“赋比兴” 到杜甫、从“花间派”到李清照、贺双卿，最后终于晚清。就算是完全不懂诗词的读者，也会跟着她走进去，不自觉间领略到诗词的美。叶教授实在是一个太好的表达者和教导者。
《职场动物进化手册》,雾满拦江,职场,很多新人会天真地认为，职场角色的不同是因为分工不同。但这本书告诉我们，职场角色其实是有高低之分的——最受公司珍惜的是“猎犬”，是随时都能脱颖而出的员工；最不被看重是“羊”，是那些最吃苦耐劳的员工......而且这本书还点明了一个最重要的职场之道——学会审视工作，进化自己的职业角色！低头努力固然重要，但抬头看清成长的目标更为重要！
《优秀到不能被忽视》,卡尔·纽波特,职场,如果你不喜欢眼前的这份工作，那这本书就再合适不过了。在这本书中，作者认为，缺乏对工作的激情是很正常的。但与其整日寻找“真正的激情事业”，倒不如让自己先爱上当前的工作。所以书中还有很多关于重燃激情的方法，提高主动能力、刻意练习……当你足够优秀的时候，好工作就会自己找上门。
《优势谈判》,罗杰·道森,职场,谈判对于有些人是与生俱来的能力，但大多数人都是从后天经验和失败教训中获得的，这本书可以让这部分人快速掌握谈判技巧，增大事业成功的机率。
《演说之禅》,加尔·雷纳德,职场,与市面上常见的PPT指导书籍不一样，这本书不光告诉你怎么制作PPT，更是叫你去思考，用PPT打动别人，做出真正精彩的演说。
《向前一步》,谢丽尔·桑德伯格,职场,这是一本专门写给职场女性看的书。它的作者是美国年薪最高的女主管，Facebook的首席运营官——谢丽尔·桑德伯格。书中，她用自己的亲身经历向我们说明，敢于进取的女人才会更成功更幸福，包括拥有稳定的经济和婚姻状况！所以，女性并非是职场上的弱者！当你勇敢地为自己争取时，就会发现，不用妥协，你也一样可以获得一切。
《高手 : 精英的见识和我们的时代》,万维钢,职场,这本书与其他四本书不同之处就在于——它绕开了人际关系和工作能力，直接提出核心内容：面对相同的问题，高手会怎么想。作者认为，高手其实并不神秘，他们追求的是人生的效率，而他们也绝不会为小问题耗费时间，是用自身的成长让那些问题自动化解。所以，改进自己，追求效率，才是成为职场高手的必经之路！
《暗时间》,刘未鹏,职场,简单来说，暗时间就是思维的时间，一个人走路、坐公车、逛街、出游、吃饭，所有这些时间都可以成为“暗时间”，如果可以充分利用这些时间进行思考，消化工作中学习到的东西，那么你就能走在别人的前面。
《12个工作的基本》,大久保幸夫,职场,这本书曾在日本备受推崇，畅销十余年。书中，作者将工作能力划分为12个基本能力，反应力、亲和力、乐观力、目标发现力、持续学习力等。而且这本书最有价值的地方就在于，它从最基本的原则入手，手把手教我们如何增强自我竞争力。职场能力的提升并不是单纯的技术提升，是一个整体的自我修炼的过程！
 《Office有诡》,都旭,职场,"升职 跳槽 圈子 滚刀肉 空降兵 底牌 锋芒……
谨以书中的职场厚黑+三十六计+作者心得，献给在山寨职场挣扎的80后 & 逐步跨入职场的90后！"
《政治学》,亚里士多德,政治      哲学,
《政府论》,约翰·洛克,政治      哲学,
《神秘的奎因先生》,阿加莎·克里斯蒂,侦探小说,萨特斯维特先生是个静谧文雅的老先生，一生酷爱看戏，每当他遇到疑难事件，就有个叫哈里·奎因的人碰巧出现，帮他理清思路和线索；然而奎因从来不直接解决问题，分析出真相后立刻离开，甚至有时会凭空消失在大雾中、悬崖边。
《角落里的老人》,艾玛·艾玛丝姬·奥希兹女男爵,侦探小说,角落老人堪称最冷漠无情的“侦探”。没人知道他是谁，只知道他每天下午都在法庭附近的咖啡馆，坐在角落的位置上，喝着咖啡、吃着起司蛋糕，手中习惯性地玩着一条绳子。角落老人是一位“安乐椅神探”，从不直接探索案件，只在法庭看热闹；而且他与正义无关，无论罪犯逍遥法外还是无辜者被屈含冤他都毫不动容，仿佛这些事只是他喝茶的点心。若仅是看客也罢了，他甚至还有更恶劣的行径……在这部短篇集中，一位女记者，在每次庭审后与角落老人对话，询问事情的真相。为了向报社交差女记者不得不忍受这家伙粗俗的语言、卑劣的品格；直到最后一次事件，女记者终于忍无可忍，鼓起勇气自己解开了真相，并揭穿角落老人的真实身份！然后，当她抬起头来，角落里已经空了，桌面上放着几枚铜板，角落老人的背影狼狈地消失在小巷里，从此永远不再出现……留给女记者和读者们的说不清是解脱还是遗憾。
《荒野侦探》,罗贝托·波拉尼奥,侦探小说,故事中的主人公们是同一个诗社的成员，他们中有男有女，有成年人，也有青少年。他们怀揣不同的理想，却有一个共同的追求——诗歌与革命。但他们又是“失败的一代”，被压在文学金字塔最底端、为文学崇拜充当庞大基数，在诗与哲学、性与爱、酒与大麻、躲避与寻找、贫穷与游荡之中，过着一种“荒野般”的生活。在这本书里，你不仅可以看到作者对诗歌最真挚的热爱，也可以看到一代人青春与幻灭的庞大奇观。如果你曾经年轻过，你就会懂这种感觉。
《大陆侦探社》,达希尔·哈米特,侦探小说,这本书的作者达希尔·哈米特是个传奇人物。他出生在一个农民家庭，13岁辍学，当过报童、码头装卸工、证券公司职员。从他21岁开始当了八年的私人侦探，35岁享誉侦探小说界——他是公认的硬汉派侦探小说的鼻祖。正因为他当过侦探，又经历了美国社会最动荡的时期，所以他笔下的侦探不再是穿着斗篷、拿着放大镜的“表演艺术家”，而是机智勇敢，和犯罪分子硬碰硬的斗士。而“大陆侦探社”的原型就是美国著名的平克顿侦探公司，达希尔本人也正是在那里工作了八年，相信许多故事是他亲身经历或见闻的演义。小说的主角大陆调查员是一个无名的胖侦探。出没于世界的任何角落，无论是社会名流的聚会还是黑帮分子的老巢，哪里有罪恶和危险哪里就有他的身影。不仅一次次解开谜案，还与形形色色的敌人搏斗，几度命悬一线、险象环生，但无论子弹、金钱、美女都不能将之摧垮。整本书笔法简洁有力，没有一处废话，聪明又冷漠，非常迷人。
《布朗神父探案全集》,吉尔伯特·基思·切斯特顿,侦探小说,
《不可能犯罪诊断书》,爱德华·霍克,侦探小说,能被冠以“不可能犯罪”的都是奇案，之所以命名为“诊断书”是因为这位侦探是医生。山姆·霍桑医生是美国东北部一个小镇的医生，但他破案的水平明显比行医的水平高。霍桑性格开朗、风趣幽默、助人为乐，喜欢结好各类朋友，不过有点儿好酒贪杯。这套书的可贵之处不仅在于一个个奇妙的案件（尤以第一部水平最佳），而且以日记般的形式记录了一个美国小镇的发展。该书纪年以霍桑诊所开业的1922年为始，骑马到汽车、电器的发展、第一次选举、商业的发展以及重大历史事件，固然这一切都是侦探故事的背景，但也忠实地描绘了美国小镇的发展简史。罪恶是无时不在的，但这本书却自始至终洋溢着健康乐观、积极向上的精神，能让人获得双重满足感。
《西方哲学史》,梯利,哲学      历史,
《论法的精神》,孟德斯鸠,哲学      法律,
《存在与虚无》,让-保罗·萨特,哲学  ,
